file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\_internal\operations\prepare.py,prepare.py,benign,0.004729931242763996
source\python-packages-1757595213589\source\pip\_internal\operations\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\operations\build\build_tracker.py,build_tracker.py,benign,0.07024801522493362
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata.py,metadata.py,malicious,0.9347224831581116
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_editable.py,metadata_editable.py,malicious,0.9347224831581116
source\python-packages-1757595213589\source\pip\_internal\operations\build\metadata_legacy.py,metadata_legacy.py,benign,0.008144810795783997
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel.py,wheel.py,benign,0.021580159664154053
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_editable.py,wheel_editable.py,benign,0.012262135744094849
source\python-packages-1757595213589\source\pip\_internal\operations\build\wheel_legacy.py,wheel_legacy.py,benign,0.016230395063757896
source\python-packages-1757595213589\source\pip\_internal\operations\build\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\operations\install\editable_legacy.py,editable_legacy.py,benign,0.009005564264953136
source\python-packages-1757595213589\source\pip\_internal\operations\install\wheel.py,wheel.py,benign,0.007651487831026316
source\python-packages-1757595213589\source\pip\_internal\operations\install\__init__.py,__init__.py,malicious,0.9526895880699158
source\python-packages-1757595213589\source\pip\_internal\req\constructors.py,constructors.py,benign,0.02522137761116028
source\python-packages-1757595213589\source\pip\_internal\req\req_dependency_group.py,req_dependency_group.py,benign,0.01701364293694496
source\python-packages-1757595213589\source\pip\_internal\req\req_file.py,req_file.py,benign,0.06758087128400803
source\python-packages-1757595213589\source\pip\_internal\req\req_install.py,req_install.py,benign,0.029065757989883423
source\python-packages-1757595213589\source\pip\_internal\req\req_set.py,req_set.py,benign,0.004623781889677048
source\python-packages-1757595213589\source\pip\_internal\req\req_uninstall.py,req_uninstall.py,benign,0.02313249185681343
source\python-packages-1757595213589\source\pip\_internal\req\__init__.py,__init__.py,benign,0.0034726487938314676
source\python-packages-1757595213589\source\pip\_internal\resolution\base.py,base.py,benign,0.022848324850201607
source\python-packages-1757595213589\source\pip\_internal\resolution\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\resolver.py,resolver.py,benign,0.023928897455334663
source\python-packages-1757595213589\source\pip\_internal\resolution\legacy\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\base.py,base.py,benign,0.011594039388000965
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\candidates.py,candidates.py,benign,0.00998324528336525
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\factory.py,factory.py,benign,0.01812981627881527
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\found_candidates.py,found_candidates.py,benign,0.030338725075125694
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\provider.py,provider.py,benign,0.01765470579266548
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\reporter.py,reporter.py,benign,0.011836081743240356
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\requirements.py,requirements.py,benign,0.009331044740974903
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\resolver.py,resolver.py,benign,0.023238958790898323
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\utils\appdirs.py,appdirs.py,malicious,0.9127700924873352
source\python-packages-1757595213589\source\pip\_internal\utils\compat.py,compat.py,benign,0.008089110255241394
source\python-packages-1757595213589\source\pip\_internal\utils\compatibility_tags.py,compatibility_tags.py,benign,0.0114835724234581
source\python-packages-1757595213589\source\pip\_internal\utils\datetime.py,datetime.py,benign,0.025062642991542816
source\python-packages-1757595213589\source\pip\_internal\utils\deprecation.py,deprecation.py,benign,0.012306504882872105
source\python-packages-1757595213589\source\pip\_internal\utils\direct_url_helpers.py,direct_url_helpers.py,benign,0.020352695137262344
source\python-packages-1757595213589\source\pip\_internal\utils\egg_link.py,egg_link.py,benign,0.012456702068448067
source\python-packages-1757595213589\source\pip\_internal\utils\entrypoints.py,entrypoints.py,benign,0.004620015621185303
source\python-packages-1757595213589\source\pip\_internal\utils\filesystem.py,filesystem.py,benign,0.049508269876241684
source\python-packages-1757595213589\source\pip\_internal\utils\filetypes.py,filetypes.py,benign,0.01767141930758953
source\python-packages-1757595213589\source\pip\_internal\utils\glibc.py,glibc.py,benign,0.0534684956073761
source\python-packages-1757595213589\source\pip\_internal\utils\hashes.py,hashes.py,benign,0.0043447986245155334
source\python-packages-1757595213589\source\pip\_internal\utils\logging.py,logging.py,benign,0.012669803574681282
source\python-packages-1757595213589\source\pip\_internal\utils\misc.py,misc.py,benign,0.019662251695990562
source\python-packages-1757595213589\source\pip\_internal\utils\packaging.py,packaging.py,benign,0.010652702301740646
source\python-packages-1757595213589\source\pip\_internal\utils\retry.py,retry.py,benign,0.016591092571616173
source\python-packages-1757595213589\source\pip\_internal\utils\setuptools_build.py,setuptools_build.py,benign,0.012701623141765594
source\python-packages-1757595213589\source\pip\_internal\utils\subprocess.py,subprocess.py,benign,0.01768741011619568
source\python-packages-1757595213589\source\pip\_internal\utils\temp_dir.py,temp_dir.py,benign,0.010924248956143856
source\python-packages-1757595213589\source\pip\_internal\utils\unpacking.py,unpacking.py,benign,0.05000222101807594
source\python-packages-1757595213589\source\pip\_internal\utils\urls.py,urls.py,malicious,0.9130190014839172
source\python-packages-1757595213589\source\pip\_internal\utils\virtualenv.py,virtualenv.py,benign,0.018629025667905807
source\python-packages-1757595213589\source\pip\_internal\utils\wheel.py,wheel.py,benign,0.02227661944925785
source\python-packages-1757595213589\source\pip\_internal\utils\_jaraco_text.py,_jaraco_text.py,benign,0.027461549267172813
source\python-packages-1757595213589\source\pip\_internal\utils\_log.py,_log.py,benign,0.019564328715205193
source\python-packages-1757595213589\source\pip\_internal\utils\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\vcs\bazaar.py,bazaar.py,benign,0.06403332948684692
source\python-packages-1757595213589\source\pip\_internal\vcs\git.py,git.py,benign,0.00853203795850277
source\python-packages-1757595213589\source\pip\_internal\vcs\mercurial.py,mercurial.py,benign,0.010423916392028332
source\python-packages-1757595213589\source\pip\_internal\vcs\subversion.py,subversion.py,benign,0.02761436440050602
source\python-packages-1757595213589\source\pip\_internal\vcs\versioncontrol.py,versioncontrol.py,benign,0.036044999957084656
source\python-packages-1757595213589\source\pip\_internal\vcs\__init__.py,__init__.py,benign,0.026415109634399414
source\python-packages-1757595213589\source\pip\_vendor\__init__.py,__init__.py,malicious,0.8804901838302612
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\adapter.py,adapter.py,benign,0.02458891086280346
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\cache.py,cache.py,benign,0.028996845707297325
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\controller.py,controller.py,benign,0.04662540927529335
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\filewrapper.py,filewrapper.py,benign,0.011793148703873158
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\heuristics.py,heuristics.py,benign,0.019827796146273613
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\serialize.py,serialize.py,benign,0.280619353055954
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\wrapper.py,wrapper.py,benign,0.041260696947574615
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\_cmd.py,_cmd.py,benign,0.003986705560237169
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\__init__.py,__init__.py,benign,0.02992713637650013
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\file_cache.py,file_cache.py,benign,0.0069799055345356464
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\redis_cache.py,redis_cache.py,benign,0.13175693154335022
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\__init__.py,__init__.py,benign,0.02493809536099434
source\python-packages-1757595213589\source\pip\_vendor\certifi\core.py,core.py,benign,0.027576567605137825
source\python-packages-1757595213589\source\pip\_vendor\certifi\__init__.py,__init__.py,benign,0.02480556257069111
source\python-packages-1757595213589\source\pip\_vendor\certifi\__main__.py,__main__.py,benign,0.03020574524998665
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_implementation.py,_implementation.py,benign,0.013859652914106846
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_lint_dependency_groups.py,_lint_dependency_groups.py,benign,0.02332426607608795
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_pip_wrapper.py,_pip_wrapper.py,benign,0.07118885219097137
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_toml_compat.py,_toml_compat.py,benign,0.025044571608304977
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__init__.py,__init__.py,benign,0.024865124374628067
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__main__.py,__main__.py,benign,0.02616267278790474
source\python-packages-1757595213589\source\pip\_vendor\distlib\compat.py,compat.py,benign,0.3072253167629242
source\python-packages-1757595213589\source\pip\_vendor\distlib\resources.py,resources.py,benign,0.02629479020833969
source\python-packages-1757595213589\source\pip\_vendor\distlib\scripts.py,scripts.py,benign,0.44880229234695435
source\python-packages-1757595213589\source\pip\_vendor\distlib\util.py,util.py,benign,0.025524001568555832
