package,file_path,file_name,vulnerability_status,label
python-packages-1757595213589,source\pip\_internal\operations\prepare.py,prepare.py,0.9998492002487183,malicious
python-packages-1757595213589,source\pip\_internal\commands\debug.py,debug.py,0.9998490810394287,malicious
python-packages-1757595213589,source\pip\_vendor\requests\adapters.py,adapters.py,0.9998490810394287,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\filepost.py,filepost.py,0.9998489618301392,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\wait.py,wait.py,0.9998489618301392,malicious
python-packages-1757595213589,source\pip\_internal\utils\subprocess.py,subprocess.py,0.9998488426208496,malicious
python-packages-1757595213589,source\pip\_vendor\rich\_windows.py,_windows.py,0.9998488426208496,malicious
python-packages-1757595213589,source\pip\_internal\locations\__init__.py,__init__.py,0.9998487234115601,malicious
python-packages-1757595213589,source\pip\_internal\utils\egg_link.py,egg_link.py,0.9998487234115601,malicious
python-packages-1757595213589,source\pip\_vendor\truststore\_openssl.py,_openssl.py,0.9998487234115601,malicious
python-packages-1757595213589,source\pip\_internal\locations\base.py,base.py,0.9998486042022705,malicious
python-packages-1757595213589,source\pip\_internal\utils\compatibility_tags.py,compatibility_tags.py,0.9998486042022705,malicious
python-packages-1757595213589,source\pip\_vendor\rich\json.py,json.py,0.9998486042022705,malicious
python-packages-1757595213589,source\uv\_find_uv.py,_find_uv.py,0.9998486042022705,malicious
python-packages-1757595213589,source\pip\_internal\vcs\mercurial.py,mercurial.py,0.999848484992981,malicious
python-packages-1757595213589,source\pip\_vendor\dependency_groups\__main__.py,__main__.py,0.9998483657836914,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\connectionpool.py,connectionpool.py,0.9998483657836914,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\request.py,request.py,0.9998483657836914,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\_musllinux.py,_musllinux.py,0.9998482465744019,malicious
python-packages-1757595213589,source\pip\_vendor\rich\scope.py,scope.py,0.9998482465744019,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\connection.py,connection.py,0.9998482465744019,malicious
python-packages-1757595213589,source\pip\_internal\models\link.py,link.py,0.9998481273651123,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\contrib\pyopenssl.py,pyopenssl.py,0.9998481273651123,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\contrib\socks.py,socks.py,0.9998481273651123,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\lexer.py,lexer.py,0.9998480081558228,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\filters\__init__.py,__init__.py,0.9998480081558228,malicious
python-packages-1757595213589,source\pip\_vendor\rich\cells.py,cells.py,0.9998480081558228,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\_collections.py,_collections.py,0.9998478889465332,malicious
python-packages-1757595213589,source\pip\_internal\req\req_file.py,req_file.py,0.9998477697372437,malicious
python-packages-1757595213589,source\pip\_internal\utils\misc.py,misc.py,0.9998477697372437,malicious
python-packages-1757595213589,source\pip\_vendor\rich\progress.py,progress.py,0.9998477697372437,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\modeline.py,modeline.py,0.9998476505279541,malicious
python-packages-1757595213589,source\pip\_vendor\requests\models.py,models.py,0.9998476505279541,malicious
python-packages-1757595213589,source\pip\_internal\cli\progress_bars.py,progress_bars.py,0.9998475313186646,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\response.py,response.py,0.999847412109375,malicious
python-packages-1757595213589,source\pip\_internal\wheel_builder.py,wheel_builder.py,0.9998472929000854,malicious
python-packages-1757595213589,source\pip\_internal\commands\freeze.py,freeze.py,0.9998472929000854,malicious
python-packages-1757595213589,source\pip\_internal\commands\show.py,show.py,0.9998472929000854,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\utils.py,utils.py,0.9998472929000854,malicious
python-packages-1757595213589,source\pip\_vendor\rich\panel.py,panel.py,0.9998472929000854,malicious
python-packages-1757595213589,source\pip\_internal\commands\search.py,search.py,0.9998471736907959,malicious
python-packages-1757595213589,source\pip\_internal\utils\virtualenv.py,virtualenv.py,0.9998471736907959,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\markers.py,markers.py,0.9998471736907959,malicious
python-packages-1757595213589,source\pip\_internal\req\__init__.py,__init__.py,0.9998470544815063,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\_manylinux.py,_manylinux.py,0.9998470544815063,malicious
python-packages-1757595213589,source\pip\_vendor\tomli_w\_writer.py,_writer.py,0.9998470544815063,malicious
python-packages-1757595213589,source\pip\_internal\utils\unpacking.py,unpacking.py,0.9998468160629272,malicious
python-packages-1757595213589,source\pip\_vendor\rich\__init__.py,__init__.py,0.9998468160629272,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\ssltransport.py,ssltransport.py,0.9998468160629272,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\contrib\ntlmpool.py,ntlmpool.py,0.9998465776443481,malicious
python-packages-1757595213589,source\pip\_internal\index\package_finder.py,package_finder.py,0.9998464584350586,malicious
python-packages-1757595213589,source\pip\_vendor\__init__.py,__init__.py,0.9998464584350586,malicious
python-packages-1757595213589,source\pip\_vendor\msgpack\fallback.py,fallback.py,0.9998464584350586,malicious
python-packages-1757595213589,source\pip\_vendor\rich\box.py,box.py,0.9998464584350586,malicious
python-packages-1757595213589,source\pip\_internal\req\req_uninstall.py,req_uninstall.py,0.999846339225769,malicious
python-packages-1757595213589,source\pip\_vendor\dependency_groups\_pip_wrapper.py,_pip_wrapper.py,0.999846339225769,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\sphinxext.py,sphinxext.py,0.999846339225769,malicious
python-packages-1757595213589,source\pip\_vendor\rich\traceback.py,traceback.py,0.999846339225769,malicious
python-packages-1757595213589,source\pip\_internal\vcs\git.py,git.py,0.9998462200164795,malicious
python-packages-1757595213589,source\pip\_internal\metadata\base.py,base.py,0.9998457431793213,malicious
python-packages-1757595213589,source\pip\_internal\utils\direct_url_helpers.py,direct_url_helpers.py,0.9998457431793213,malicious
python-packages-1757595213589,source\pip\_internal\utils\wheel.py,wheel.py,0.9998457431793213,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\util\ssl_.py,ssl_.py,0.9998457431793213,malicious
python-packages-1757595213589,source\pip\_internal\operations\freeze.py,freeze.py,0.9998456239700317,malicious
python-packages-1757595213589,source\pip\_vendor\cachecontrol\caches\file_cache.py,file_cache.py,0.9998455047607422,malicious
python-packages-1757595213589,source\pip\_vendor\dependency_groups\_lint_dependency_groups.py,_lint_dependency_groups.py,0.9998453855514526,malicious
python-packages-1757595213589,source\pip\_vendor\truststore\_api.py,_api.py,0.9998453855514526,malicious
python-packages-1757595213589,source\pip\_internal\commands\list.py,list.py,0.9998451471328735,malicious
python-packages-1757595213589,source\pip\_vendor\idna\core.py,core.py,0.9998451471328735,malicious
python-packages-1757595213589,source\pip\_vendor\resolvelib\resolvers\resolution.py,resolution.py,0.9998451471328735,malicious
python-packages-1757595213589,source\pip\_vendor\distlib\resources.py,resources.py,0.999845027923584,malicious
python-packages-1757595213589,source\pip\_vendor\rich\highlighter.py,highlighter.py,0.9998447895050049,malicious
python-packages-1757595213589,source\pip\_vendor\rich\segment.py,segment.py,0.9998447895050049,malicious
python-packages-1757595213589,source\pip\_vendor\rich\_win32_console.py,_win32_console.py,0.9998447895050049,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\packages\backports\weakref_finalize.py,weakref_finalize.py,0.9998447895050049,malicious
python-packages-1757595213589,source\pip\_vendor\urllib3\poolmanager.py,poolmanager.py,0.9998446702957153,malicious
python-packages-1757595213589,source\pip\_internal\resolution\resolvelib\resolver.py,resolver.py,0.9998445510864258,malicious
python-packages-1757595213589,source\pip\_internal\vcs\subversion.py,subversion.py,0.9998445510864258,malicious
python-packages-1757595213589,source\pip\_internal\metadata\pkg_resources.py,pkg_resources.py,0.9998444318771362,malicious
python-packages-1757595213589,source\pip\_vendor\packaging\version.py,version.py,0.9998443126678467,malicious
python-packages-1757595213589,source\pip\_vendor\pygments\styles\__init__.py,__init__.py,0.9998440742492676,malicious
python-packages-1757595213589,source\pip\_vendor\requests\sessions.py,sessions.py,0.9998440742492676,malicious
python-packages-1757595213589,source\pip\_internal\utils\glibc.py,glibc.py,0.999843955039978,malicious
python-packages-1757595213589,source\pip\_internal\build_env.py,build_env.py,0.9998438358306885,malicious
python-packages-1757595213589,source\pip\_vendor\rich\status.py,status.py,0.9998438358306885,malicious
python-packages-1757595213589,source\pip\_internal\cli\main.py,main.py,0.9998435974121094,malicious
