file_path,file_name,malicious_status,malicious_probability
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\factory.py,factory.py,benign,0.018129823729395866
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\found_candidates.py,found_candidates.py,benign,0.030338717624545097
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\provider.py,provider.py,benign,0.01765470579266548
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\reporter.py,reporter.py,benign,0.011836092919111252
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\requirements.py,requirements.py,benign,0.00933104008436203
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\resolver.py,resolver.py,benign,0.02323896996676922
source\python-packages-1757595213589\source\pip\_internal\resolution\resolvelib\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\utils\appdirs.py,appdirs.py,malicious,0.9127700328826904
source\python-packages-1757595213589\source\pip\_internal\utils\compat.py,compat.py,benign,0.008089114911854267
source\python-packages-1757595213589\source\pip\_internal\utils\compatibility_tags.py,compatibility_tags.py,benign,0.011483577080070972
source\python-packages-1757595213589\source\pip\_internal\utils\datetime.py,datetime.py,benign,0.02506263740360737
source\python-packages-1757595213589\source\pip\_internal\utils\deprecation.py,deprecation.py,benign,0.012306504882872105
source\python-packages-1757595213589\source\pip\_internal\utils\direct_url_helpers.py,direct_url_helpers.py,benign,0.020352715626358986
source\python-packages-1757595213589\source\pip\_internal\utils\egg_link.py,egg_link.py,benign,0.012456696480512619
source\python-packages-1757595213589\source\pip\_internal\utils\entrypoints.py,entrypoints.py,benign,0.004620015621185303
source\python-packages-1757595213589\source\pip\_internal\utils\filesystem.py,filesystem.py,benign,0.04950824752449989
source\python-packages-1757595213589\source\pip\_internal\utils\filetypes.py,filetypes.py,benign,0.01767141930758953
source\python-packages-1757595213589\source\pip\_internal\utils\glibc.py,glibc.py,benign,0.053468480706214905
source\python-packages-1757595213589\source\pip\_internal\utils\hashes.py,hashes.py,benign,0.004344802349805832
source\python-packages-1757595213589\source\pip\_internal\utils\logging.py,logging.py,benign,0.012669791467487812
source\python-packages-1757595213589\source\pip\_internal\utils\misc.py,misc.py,benign,0.019662251695990562
source\python-packages-1757595213589\source\pip\_internal\utils\packaging.py,packaging.py,benign,0.01065270695835352
source\python-packages-1757595213589\source\pip\_internal\utils\retry.py,retry.py,benign,0.016591092571616173
source\python-packages-1757595213589\source\pip\_internal\utils\setuptools_build.py,setuptools_build.py,benign,0.012701623141765594
source\python-packages-1757595213589\source\pip\_internal\utils\subprocess.py,subprocess.py,benign,0.017687417566776276
source\python-packages-1757595213589\source\pip\_internal\utils\temp_dir.py,temp_dir.py,benign,0.010924248956143856
source\python-packages-1757595213589\source\pip\_internal\utils\unpacking.py,unpacking.py,benign,0.05000222101807594
source\python-packages-1757595213589\source\pip\_internal\utils\urls.py,urls.py,malicious,0.9130190014839172
source\python-packages-1757595213589\source\pip\_internal\utils\virtualenv.py,virtualenv.py,benign,0.01862902194261551
source\python-packages-1757595213589\source\pip\_internal\utils\wheel.py,wheel.py,benign,0.0222766250371933
source\python-packages-1757595213589\source\pip\_internal\utils\_jaraco_text.py,_jaraco_text.py,benign,0.027461545541882515
source\python-packages-1757595213589\source\pip\_internal\utils\_log.py,_log.py,benign,0.019564328715205193
source\python-packages-1757595213589\source\pip\_internal\utils\__init__.py,__init__.py,error,0.0
source\python-packages-1757595213589\source\pip\_internal\vcs\bazaar.py,bazaar.py,benign,0.06403332948684692
source\python-packages-1757595213589\source\pip\_internal\vcs\git.py,git.py,benign,0.008532042615115643
source\python-packages-1757595213589\source\pip\_internal\vcs\mercurial.py,mercurial.py,benign,0.010423921048641205
source\python-packages-1757595213589\source\pip\_internal\vcs\subversion.py,subversion.py,benign,0.027614394202828407
source\python-packages-1757595213589\source\pip\_internal\vcs\versioncontrol.py,versioncontrol.py,benign,0.03604501858353615
source\python-packages-1757595213589\source\pip\_internal\vcs\__init__.py,__init__.py,benign,0.02641512267291546
source\python-packages-1757595213589\source\pip\_vendor\__init__.py,__init__.py,malicious,0.8804901838302612
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\adapter.py,adapter.py,benign,0.02458891086280346
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\cache.py,cache.py,benign,0.028996851295232773
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\controller.py,controller.py,benign,0.046625424176454544
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\filewrapper.py,filewrapper.py,benign,0.011793148703873158
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\heuristics.py,heuristics.py,benign,0.019827809184789658
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\serialize.py,serialize.py,benign,0.280619353055954
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\wrapper.py,wrapper.py,benign,0.04126070439815521
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\_cmd.py,_cmd.py,benign,0.003986705560237169
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\__init__.py,__init__.py,benign,0.02992715872824192
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\file_cache.py,file_cache.py,benign,0.0069799055345356464
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\redis_cache.py,redis_cache.py,benign,0.1317569613456726
source\python-packages-1757595213589\source\pip\_vendor\cachecontrol\caches\__init__.py,__init__.py,benign,0.024938108399510384
source\python-packages-1757595213589\source\pip\_vendor\certifi\core.py,core.py,benign,0.027576584368944168
source\python-packages-1757595213589\source\pip\_vendor\certifi\__init__.py,__init__.py,benign,0.0248055811971426
source\python-packages-1757595213589\source\pip\_vendor\certifi\__main__.py,__main__.py,benign,0.030205758288502693
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_implementation.py,_implementation.py,benign,0.013859652914106846
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_lint_dependency_groups.py,_lint_dependency_groups.py,benign,0.023324279114603996
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_pip_wrapper.py,_pip_wrapper.py,benign,0.07118888199329376
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\_toml_compat.py,_toml_compat.py,benign,0.025044593960046768
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__init__.py,__init__.py,benign,0.024865150451660156
source\python-packages-1757595213589\source\pip\_vendor\dependency_groups\__main__.py,__main__.py,benign,0.02616266906261444
source\python-packages-1757595213589\source\pip\_vendor\distlib\compat.py,compat.py,benign,0.3072253465652466
source\python-packages-1757595213589\source\pip\_vendor\distlib\resources.py,resources.py,benign,0.02629479020833969
source\python-packages-1757595213589\source\pip\_vendor\distlib\scripts.py,scripts.py,benign,0.44880229234695435
source\python-packages-1757595213589\source\pip\_vendor\distlib\util.py,util.py,benign,0.025524012744426727
source\python-packages-1757595213589\source\pip\_vendor\distlib\__init__.py,__init__.py,benign,0.018873685970902443
source\python-packages-1757595213589\source\pip\_vendor\distro\distro.py,distro.py,benign,0.004213598556816578
source\python-packages-1757595213589\source\pip\_vendor\distro\__init__.py,__init__.py,benign,0.01562926545739174
source\python-packages-1757595213589\source\pip\_vendor\distro\__main__.py,__main__.py,benign,0.02480148710310459
source\python-packages-1757595213589\source\pip\_vendor\idna\codec.py,codec.py,benign,0.014917949214577675
source\python-packages-1757595213589\source\pip\_vendor\idna\compat.py,compat.py,benign,0.03056468814611435
source\python-packages-1757595213589\source\pip\_vendor\idna\core.py,core.py,benign,0.03236827626824379
